"Indikator","Ausprägung","Jahr","Raumbezug","Indikatorwert","Basiswert.1","Basiswert.2","Basiswert.3","Basiswert.4","Basiswert.5","Name.Basiswert.1","Name.Basiswert.2","Name.Basiswert.3","Name.Basiswert.4","Name.Basiswert.5"
"Altersgruppen","bis 17 Jahre",2023,"07 Sendling - Westpark",15,9329,62065,NA,NA,NA,"Hauptwohnsitzbevölkerung (bis 17 Jahre)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Altersgruppen","bis 17 Jahre",2023,"08 Schwanthalerhöhe",13.4,3849,28732,NA,NA,NA,"Hauptwohnsitzbevölkerung (bis 17 Jahre)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Altersgruppen","bis 17 Jahre",2023,"09 Neuhausen - Nymphenburg",14.8,14854,100396,NA,NA,NA,"Hauptwohnsitzbevölkerung (bis 17 Jahre)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Altersgruppen","bis 17 Jahre",2023,"10 Moosach",15.7,8755,55851,NA,NA,NA,"Hauptwohnsitzbevölkerung (bis 17 Jahre)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Altersgruppen","bis 17 Jahre",2023,"11 Milbertshofen - Am Hart",15.2,11702,76971,NA,NA,NA,"Hauptwohnsitzbevölkerung (bis 17 Jahre)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Altersgruppen","bis 17 Jahre",2023,"12 Schwabing - Freimann",14.9,11456,76986,NA,NA,NA,"Hauptwohnsitzbevölkerung (bis 17 Jahre)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Altersgruppen","bis 17 Jahre",2023,"13 Bogenhausen",16.9,15905,94337,NA,NA,NA,"Hauptwohnsitzbevölkerung (bis 17 Jahre)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Altersgruppen","bis 17 Jahre",2023,"14 Berg am Laim",16.2,7609,47037,NA,NA,NA,"Hauptwohnsitzbevölkerung (bis 17 Jahre)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Altersgruppen","bis 17 Jahre",2023,"15 Trudering - Riem",19.5,14768,75728,NA,NA,NA,"Hauptwohnsitzbevölkerung (bis 17 Jahre)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Altersgruppen","bis 17 Jahre",2023,"16 Ramersdorf - Perlach",17.3,20830,120085,NA,NA,NA,"Hauptwohnsitzbevölkerung (bis 17 Jahre)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
