"Indikator","Ausprägung","Jahr","Raumbezug","Indikatorwert","Basiswert.1","Basiswert.2","Basiswert.3","Basiswert.4","Basiswert.5","Name.Basiswert.1","Name.Basiswert.2","Name.Basiswert.3","Name.Basiswert.4","Name.Basiswert.5"
"Haushalte mit Kindern","deutsch",2021,"01 Altstadt - Lehel",11.5,1016,8823,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2021,"02 Ludwigsvorstadt - Isarvorstadt",11.8,2494,21083,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2021,"03 Maxvorstadt",8.9,2039,22845,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2021,"04 Schwabing - West",12.6,3679,29210,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2021,"05 Au - Haidhausen",14.2,3648,25691,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2021,"06 Sendling",12,2032,16903,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2021,"07 Sendling - Westpark",12.4,2733,22126,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2021,"08 Schwanthalerhöhe",12.3,1336,10824,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2021,"09 Neuhausen - Nymphenburg",13.6,5363,39564,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2021,"10 Moosach",13.4,2410,17942,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2021,"11 Milbertshofen - Am Hart",11.8,2450,20813,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2021,"12 Schwabing - Freimann",14.6,3899,26736,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2021,"13 Bogenhausen",15.9,5396,33858,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2021,"14 Berg am Laim",12.5,1966,15692,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2021,"15 Trudering - Riem",21.5,5203,24155,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2021,"16 Ramersdorf - Perlach",14,4955,35315,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2021,"17 Obergiesing - Fasangarten",12.4,2469,19862,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2021,"18 Untergiesing - Harlaching",13.6,2982,21966,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2021,"19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln",14.5,5110,35341,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2021,"20 Hadern",14.5,2427,16760,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2021,"21 Pasing - Obermenzing",17.9,4957,27743,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2021,"22 Aubing - Lochhausen - Langwied",18.7,2892,15449,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2021,"23 Allach - Untermenzing",21,2390,11401,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2021,"24 Feldmoching - Hasenbergl",17,3075,18070,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2021,"25 Laim",10.5,2327,22133,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2020,"Stadt München",14,78723,563751,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2020,"01 Altstadt - Lehel",11.6,1033,8909,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2020,"02 Ludwigsvorstadt - Isarvorstadt",11.8,2510,21267,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2020,"03 Maxvorstadt",8.9,2062,23230,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2020,"04 Schwabing - West",12.5,3690,29550,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2020,"05 Au - Haidhausen",14.1,3641,25770,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2020,"06 Sendling",11.9,2038,17062,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2020,"07 Sendling - Westpark",12.1,2697,22272,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2020,"08 Schwanthalerhöhe",12.3,1343,10942,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2020,"09 Neuhausen - Nymphenburg",13.4,5353,39938,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2020,"10 Moosach",13.4,2437,18212,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2020,"11 Milbertshofen - Am Hart",11.5,2434,21139,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2020,"12 Schwabing - Freimann",14.2,3840,27060,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2020,"13 Bogenhausen",15.7,5332,34020,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2020,"14 Berg am Laim",12.3,1963,15929,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2020,"15 Trudering - Riem",21.6,5164,23886,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2020,"16 Ramersdorf - Perlach",13.7,4875,35661,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2020,"17 Obergiesing - Fasangarten",12.3,2451,19929,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2020,"18 Untergiesing - Harlaching",13.3,2956,22159,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2020,"19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln",14.3,5072,35429,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2020,"20 Hadern",14.4,2437,16906,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2020,"21 Pasing - Obermenzing",17.6,4870,27598,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2020,"22 Aubing - Lochhausen - Langwied",18.1,2753,15243,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2020,"23 Allach - Untermenzing",20.8,2337,11241,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2020,"24 Feldmoching - Hasenbergl",16.9,3058,18125,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2020,"25 Laim",10.7,2377,22274,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2019,"Stadt München",13.8,78218,564903,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2019,"01 Altstadt - Lehel",11.2,1007,8953,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2019,"02 Ludwigsvorstadt - Isarvorstadt",11.9,2538,21317,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2019,"03 Maxvorstadt",8.8,2043,23276,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2019,"04 Schwabing - West",12.4,3683,29628,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2019,"05 Au - Haidhausen",14,3574,25575,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
